account,total_amount,transaction_count
C487523318,514977,05,1
C853251323,515061,08,1
C905962412,528013,15,1
C1210252371,528622,86,1
C641976998,529611,71,1
C772310098,541556,34,1
C832481686,547982,86,1
C1130242637,548784,50,1
C1989968081,548931,88,1
C439751089,553290,00,1
C1218622610,558601,07,1
C1060786847,560156,47,1
C2060124480,564581,34,1
C486759395,565349,90,1
C1144886446,566270,79,1
C1906947271,569068,84,1
C396926129,570796,52,1
C562851134,573285,84,1
C280194442,591002,43,1
C510868405,591464,21,1
C1434796930,595846,21,1
C1700257002,595879,01,1
C411825368,595893,92,1
C1340283293,599342,88,1
C1530977859,602938,90,1
C85304558,603999,01,1
C1442882168,604786,90,1
C2089115376,608944,62,1
C100984998,611874,69,1
C155333444,617735,13,1
C311592722,618122,62,1
C443006437,632361,53,1
C86828392,636710,53,1
C47491804,655143,29,1
C1081587486,702031,37,1
C1274740515,703911,36,1
C1107677641,740951,52,1
C968373819,765639,59,1
C812709279,767924,00,1
C1295011929,773026,68,1
C661565357,787766,57,1
C242495499,793967,31,1
C774194879,809801,18,1
C1875395688,810479,77,1
C654958709,817307,46,1
C910091281,819668,37,1
C1775601457,820399,29,1
C1543560717,822798,92,1
C1053106531,837439,12,1
C1627993706,840288,07,1
C1826083903,840886,94,1
C1162595263,862977,60,1
C1280441498,874562,86,1
C971578330,875756,90,1
C2026873444,884591,40,1
C485281961,889053,15,1
C1021071701,913805,64,1
C607419787,915732,43,1
C811741449,916428,17,1
C306321254,921268,93,1
C1563053805,928722,69,1
C1329505805,929560,40,1
C771843019,934479,64,1
C1561005241,939018,70,1
C1215109224,939538,85,1
C1049204172,941410,58,1
C1345525137,941502,27,1
C199076007,942403,40,1
C430329518,963532,14,1
C1246807878,979818,78,1
C1825656946,984994,76,1
C47110095,997659,79,1
C826884252,999702,92,1
C208280546,1002954,19,1
C1912104290,1008022,35,1
C1901272535,1027611,05,1
C1078783335,1032930,05,1
C867911989,1039778,19,1
C1565193331,1055284,91,1
C1369314550,1067743,66,1
C1822325490,1094308,58,1
C602529144,1095802,84,1
C77163673,1096187,24,1
C859156431,1097510,65,1
C207950470,1103184,69,1
C967677821,1123206,66,1
C87255309,1123213,77,1
C458998685,1127058,69,1
C1469680626,1130828,97,1
C817092761,1137763,15,1
C1512273713,1147953,82,1
C242626688,1167278,82,1
C1268635527,1168723,46,1
C1526378110,1170389,40,1
C1281894438,1174893,26,1
C1585824283,1197188,79,1
C1267504937,1197991,95,1
C143641035,1223547,78,1
C2044934146,1236739,50,1
C1424214946,1242030,96,1
C1334405552,1277212,77,1
C467632528,1277212,77,1
C1814062048,1277771,78,1
C1000719581,1280020,98,1
C882280168,1284837,02,1
C1010419513,1306489,06,1
C853175535,1322921,30,1
C283492252,1339661,93,1
C1419332030,1349670,68,1
C1025979136,1379628,76,1
C384119884,1390432,94,1
C1191985705,1408829,48,1
C1660570248,1465989,27,1
C1464177809,1478772,04,1
C611498500,1486199,17,1
C1296845588,1490781,74,1
C482900198,1532087,16,1
C476579021,1538200,39,1
C52931619,1541543,10,1
C837923432,1545681,21,1
C132930221,1566574,37,1
C369749333,1571619,71,1
C416864887,1575365,68,1
C1234328865,1595612,93,1
C964895360,1610264,08,1
C1986550448,1626960,47,1
C1090678364,1627438,13,1
C1115434134,1632164,90,1
C1602785474,1636507,63,1
C1603462635,1656720,92,1
C1866632814,1657667,44,1
C1331353271,1658697,08,1
C1623105503,1737772,93,1
C921262971,2011670,91,1
C1233563882,2222097,28,1
C1580741277,2241254,39,1
C1801561264,2511647,23,1
C1942806465,2940764,72,1
C197491520,3776389,09,1
C7162498,10000000,00,1
C351297720,10000000,00,1
